Data Generated by    ,Optosky
Save time:,2025/4/14 11:45:21
Material:, 
Integrate time:,7
Driver current:,700mA
Filter level:,NONE
Accumulate:,1
X Axis Unit:,WaveLength
position,value
324.988,2.00
325.384,0.00
325.781,-2.00
326.177,4.00
326.573,5.00
326.970,9.00
327.366,9.00
327.763,16.00
328.159,1.00
328.556,-1.00
328.952,-5.00
329.349,-3.00
329.745,10.00
330.142,6.00
330.539,-4.00
330.935,-8.00
331.332,-15.00
331.729,-12.00
332.126,-5.00
332.522,-11.00
332.919,-16.00
333.316,-18.00
333.713,-16.00
334.110,-12.00
334.507,3.00
334.904,10.00
335.301,14.00
335.698,0.00
336.095,6.00
336.492,5.00
336.889,1.00
337.286,5.00
337.683,-1.00
338.080,-2.00
338.477,3.00
338.875,-1.00
339.272,-8.00
339.669,-7.00
340.066,-2.00
340.464,-2.00
340.861,-3.00
341.258,-3.00
341.656,-13.00
342.053,-12.00
342.451,-16.00
342.848,-17.00
343.246,-21.00
343.643,-16.00
344.041,-17.00
344.438,-11.00
344.836,-3.00
345.233,9.00
345.631,8.00
346.029,15.00
346.427,12.00
346.824,2.00
347.222,5.00
347.620,0.00
348.018,11.00
348.415,22.00
348.813,20.00
349.211,18.00
349.609,16.00
350.007,11.00
350.405,5.00
350.803,-5.00
351.201,-4.00
351.599,-6.00
351.997,-6.00
352.395,-9.00
352.793,-2.00
353.191,-4.00
353.589,0.00
353.988,-5.00
354.386,4.00
354.784,7.00
355.182,7.00
355.581,7.00
355.979,5.00
356.377,14.00
356.776,3.00
357.174,-4.00
357.573,0.00
357.971,8.00
358.369,14.00
358.768,4.00
359.166,5.00
359.565,14.00
359.964,2.00
360.362,-9.00
360.761,-3.00
361.159,-9.00
361.558,-3.00
361.957,-5.00
362.355,-12.00
362.754,-3.00
363.153,-11.00
363.552,-13.00
363.951,-6.00
364.349,2.00
364.748,-1.00
365.147,6.00
365.546,-1.00
365.945,5.00
366.344,0.00
366.743,8.00
367.142,13.00
367.541,4.00
367.940,19.00
368.339,22.00
368.738,15.00
369.137,8.00
369.537,-5.00
369.936,-4.00
370.335,-2.00
370.734,-12.00
371.134,-10.00
371.533,-16.00
371.932,-10.00
372.332,-10.00
372.731,-10.00
373.130,-5.00
373.530,1.00
373.929,11.00
374.329,10.00
374.728,9.00
375.128,6.00
375.527,7.00
375.927,11.00
376.326,8.00
376.726,13.00
377.126,16.00
377.525,10.00
377.925,7.00
378.325,-2.00
378.724,4.00
379.124,10.00
379.524,8.00
379.924,0.00
380.324,-15.00
380.723,-25.00
381.123,-14.00
381.523,-14.00
381.923,-20.00
382.323,-15.00
382.723,-9.00
383.123,-13.00
383.523,-6.00
383.923,3.00
384.323,-3.00
384.723,1.00
385.124,7.00
385.524,8.00
385.924,2.00
386.324,1.00
386.724,12.00
387.125,9.00
387.525,11.00
387.925,1.00
388.325,-5.00
388.726,0.00
389.126,-1.00
389.527,-12.00
389.927,-20.00
390.327,-19.00
390.728,-27.00
391.128,-25.00
391.529,-7.00
391.929,-14.00
392.330,-17.00
392.731,-14.00
393.131,-12.00
393.532,7.00
393.933,3.00
394.333,8.00
394.734,-1.00
395.135,8.00
395.535,0.00
395.936,-9.00
396.337,-9.00
396.738,-9.00
397.139,-14.00
397.540,-7.00
397.941,-5.00
398.341,-2.00
398.742,0.00
399.143,-6.00
399.544,-5.00
399.945,-14.00
400.346,-14.00
400.748,-16.00
401.149,-23.00
401.550,-23.00
401.951,-27.00
402.352,-20.00
402.753,-12.00
403.154,-9.00
403.556,-7.00
403.957,-3.00
404.358,3.00
404.760,-3.00
405.161,-3.00
405.562,1.00
405.964,3.00
406.365,1.00
406.766,-4.00
407.168,-8.00
407.569,-21.00
407.971,-18.00
408.372,-6.00
408.774,-1.00
409.176,-6.00
409.577,-9.00
409.979,-15.00
410.380,-24.00
410.782,-28.00
411.184,-32.00
411.586,-29.00
411.987,-20.00
412.389,-16.00
412.791,-9.00
413.193,-1.00
413.594,2.00
413.996,4.00
414.398,10.00
414.800,7.00
415.202,6.00
415.604,-4.00
416.006,-3.00
416.408,-6.00
416.810,0.00
417.212,13.00
417.614,11.00
418.016,3.00
418.418,1.00
418.820,1.00
419.223,-12.00
419.625,-13.00
420.027,-7.00
420.429,-6.00
420.831,-13.00
421.234,-28.00
421.636,-21.00
422.038,-16.00
422.441,-12.00
422.843,-8.00
423.245,5.00
423.648,2.00
424.050,-6.00
424.453,2.00
424.855,14.00
425.258,6.00
425.660,0.00
426.063,-7.00
426.465,-7.00
426.868,0.00
427.271,0.00
427.673,-2.00
428.076,-5.00
428.479,7.00
428.881,-4.00
429.284,-8.00
429.687,-7.00
430.090,-7.00
430.492,-8.00
430.895,-22.00
431.298,-17.00
431.701,-16.00
432.104,-13.00
432.507,-8.00
432.910,-7.00
433.313,-2.00
433.716,0.00
434.119,0.00
434.522,10.00
434.925,-4.00
435.328,-6.00
435.731,-2.00
436.134,2.00
436.537,8.00
436.941,5.00
437.344,3.00
437.747,0.00
438.150,7.00
438.553,5.00
438.957,0.00
439.360,-7.00
439.763,-22.00
440.167,-23.00
440.570,-9.00
440.974,-16.00
441.377,-3.00
441.780,-8.00
442.184,0.00
442.587,-2.00
442.991,0.00
443.394,7.00
443.798,15.00
444.202,20.00
444.605,9.00
445.009,3.00
445.412,-7.00
445.816,1.00
446.220,0.00
446.624,-1.00
447.027,4.00
447.431,18.00
447.835,8.00
448.239,6.00
448.642,7.00
449.046,17.00
449.450,5.00
449.854,-6.00
450.258,-7.00
450.662,-26.00
451.066,-18.00
451.470,-12.00
451.874,-19.00
452.278,-7.00
452.682,2.00
453.086,5.00
453.490,18.00
453.894,20.00
454.298,25.00
454.703,16.00
455.107,16.00
455.511,7.00
455.915,8.00
456.319,17.00
456.724,14.00
457.128,7.00
457.532,9.00
457.937,-4.00
458.341,-3.00
458.745,4.00
459.150,4.00
459.554,1.00
459.959,-6.00
460.363,-7.00
460.768,2.00
461.172,10.00
461.577,3.00
461.981,3.00
462.386,3.00
462.790,12.00
463.195,7.00
463.600,11.00
464.004,12.00
464.409,11.00
464.814,4.00
465.219,15.00
465.623,14.00
466.028,26.00
466.433,21.00
466.838,20.00
467.242,16.00
467.647,11.00
468.052,15.00
468.457,15.00
468.862,18.00
