USPM-SA v1.00 DATAFILE 380-1050
wavelength,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20
409.00,1.3655,0.9853,0.4599,0.5303,0.6711,0.6993,0.6993,0.6993,0.3846,0.7274,0.8542,0.9761,0.9620,0.6148,0.5725,0.3895,0.7415,0.7789,0.5162,0.5162
410.00,1.3599,0.9675,0.4497,0.5300,0.6541,0.6813,0.6936,0.6936,0.3693,0.7208,0.8434,0.9661,0.9402,0.6118,0.5709,0.3693,0.7344,0.7631,0.5164,0.5164
411.00,1.3618,0.9630,0.4495,0.5398,0.6621,0.6752,0.6884,0.6997,0.3705,0.7016,0.8445,0.9499,0.9386,0.5944,0.5793,0.3705,0.7373,0.7542,0.5135,0.5135
412.00,1.3562,0.9531,0.4511,0.5276,0.6629,0.6805,0.6933,0.6933,0.3697,0.7109,0.8384,0.9355,0.9355,0.5913,0.5658,0.3697,0.7237,0.7570,0.5021,0.5021
413.00,1.3490,0.9594,0.4589,0.5251,0.6560,0.6807,0.6930,0.6930,0.3727,0.7176,0.8408,0.9348,0.9270,0.6022,0.5698,0.3804,0.7377,0.7623,0.5005,0.5082
414.00,1.3574,0.9677,0.4609,0.5305,0.6712,0.6950,0.6965,0.6862,0.3779,0.7202,0.8491,0.9440,0.9321,0.6135,0.5676,0.3898,0.7439,0.7677,0.5068,0.5186
415.00,1.3557,0.9649,0.4481,0.5296,0.6543,0.6785,0.6886,0.6785,0.3780,0.7129,0.8287,0.9318,0.9089,0.6085,0.5741,0.3780,0.7345,0.7574,0.5066,0.5168
416.00,1.3465,0.9565,0.4452,0.5295,0.6437,0.6729,0.6807,0.6807,0.3640,0.7060,0.8312,0.9305,0.9124,0.5957,0.5665,0.3640,0.7209,0.7430,0.5074,0.5113
417.00,1.3433,0.9480,0.4485,0.5229,0.6461,0.6674,0.6823,0.6823,0.3571,0.6929,0.8268,0.9224,0.9118,0.5866,0.5654,0.3634,0.7205,0.7418,0.5016,0.5122
418.00,1.3402,0.9525,0.4558,0.5273,0.6583,0.6787,0.6889,0.6803,0.3640,0.7076,0.8317,0.9149,0.9133,0.5970,0.5681,0.3742,0.7297,0.7501,0.5069,0.5085
419.00,1.3451,0.9531,0.4614,0.5300,0.6484,0.6778,0.6876,0.6787,0.3642,0.7170,0.8346,0.9139,0.9041,0.5994,0.5692,0.3830,0.7375,0.7562,0.5014,0.5104
420.00,1.3353,0.9520,0.4556,0.5247,0.6473,0.6756,0.6850,0.6819,0.3708,0.7133,0.8264,0.9143,0.9018,0.6001,0.5624,0.3802,0.7416,0.7510,0.5058,0.5058
421.00,1.3413,0.9551,0.4497,0.5275,0.6454,0.6726,0.6817,0.6778,0.3732,0.7089,0.8229,0.9137,0.8955,0.6000,0.5689,0.3771,0.7361,0.7452,0.5093,0.5145
422.00,1.3380,0.9484,0.4507,0.5293,0.6428,0.6761,0.6777,0.6848,0.3738,0.7039,0.8245,0.9118,0.8943,0.5921,0.5729,0.3738,0.7301,0.7388,0.5118,0.5206
