USPM-SA v1.01 ADDFILE 380-1050
Source3,(0:A,1:B,2:C,3:D65),ViewTrue,(True:2(CIE1931),False:10(CIE1964))
L*,3.4836,10.8739,11.5349,4.2886,10.6832,5.4969,11.1435,6.5010,3.0164,9.6014,8.1310,11.6763,13.0652,4.7689,5.8457,5.8436,12.6825,7.2637,4.4251,11.0566
a*,4.6373,7.3086,6.7168,5.7742,4.2289,5.8678,5.7354,5.7207,4.1317,6.3812,8.1094,8.7955,3.6718,4.8567,5.4063,4.1698,3.2625,7.6041,4.4834,4.7943
b*,0.8828,11.5583,12.2810,3.3465,7.4292,4.3946,11.2732,5.8544,-1.0055,9.4720,7.6708,5.7861,11.4244,3.6481,5.6730,6.0736,7.0446,8.1903,4.2059,11.2776
x,0.3920,0.4483,0.4449,0.4387,0.3935,0.4281,0.4334,0.4295,0.3525,0.4349,0.4434,0.4034,0.4095,0.4225,0.4388,0.4361,0.3785,0.4628,0.4409,0.4285
y,0.3153,0.3928,0.3971,0.3518,0.3717,0.3612,0.3952,0.3755,0.2816,0.3868,0.3727,0.3431,0.3953,0.3598,0.3803,0.3939,0.3685,0.3904,0.3758,0.3998
HUE,10.7783,57.6939,61.3245,30.0946,60.3502,36.8307,63.0346,45.6615,256.3224,56.0322,43.4079,33.3385,72.1826,36.9117,46.3789,55.5290,65.1502,47.1255,43.1709,66.9687
CHROMA,4.7206,13.6751,13.9978,6.6739,8.5485,7.3309,12.6483,8.1854,4.2522,11.4210,11.1625,10.5281,12.0000,6.0742,7.8365,7.3672,7.7634,11.1760,6.1474,12.2543
AVERAGE,1.9179,3.5180,3.5316,2.0549,2.5119,2.0627,3.1130,2.3178,2.0121,2.8296,3.0206,2.9642,2.8598,1.9239,2.0589,1.6943,2.6184,2.7202,1.6898,2.7442
LUMINOUS,0.3857,1.2434,1.3374,0.4748,1.2171,0.6085,1.2812,0.7197,0.3339,1.0750,0.9002,1.3582,1.5731,0.5279,0.6472,0.6469,1.5117,0.8041,0.4899,1.2689
NO,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20
DETAIL1,,,,,,,,,,,,,,,,,,,,
DETAIL2,,,,,,,,,,,,,,,,,,,,
DATE,25/03/02 13:40,25/03/02 13:40,25/03/02 13:41,25/03/02 13:41,25/03/02 13:42,25/03/02 13:43,25/03/02 13:44,25/03/02 13:44,25/03/02 13:45,25/03/02 13:45,25/03/02 13:46,25/03/02 13:47,25/03/02 13:48,25/03/02 13:48,25/03/02 13:49,25/03/02 13:49,25/03/02 13:50,25/03/02 13:51,25/03/02 13:51,25/03/02 13:52
