USPM-SA v1.00 DATAFILE 380-1050
wavelength,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20
380.00,0.4357,0.6590,0.6251,0.3572,0.7591,0.4912,0.5974,0.4019,0.4635,0.5974,0.6421,0.8761,0.5528,0.3295,0.3464,0.2848,0.9993,0.4188,0.3126,0.5081
381.00,0.4223,0.6364,0.5994,0.3425,0.7648,0.4710,0.5566,0.3853,0.4281,0.5566,0.5994,0.8932,0.5138,0.3367,0.3367,0.2569,0.9419,0.3853,0.2997,0.4710
382.00,0.3753,0.6182,0.5770,0.3709,0.7787,0.4533,0.5358,0.4078,0.4165,0.5770,0.5813,0.9154,0.5401,0.3709,0.3709,0.2473,0.9479,0.4078,0.2516,0.4533
383.00,0.4074,0.5906,0.5649,0.3543,0.7224,0.4331,0.5118,0.3681,0.4331,0.5649,0.5906,0.9587,0.5649,0.3543,0.3681,0.2362,0.9193,0.3681,0.2756,0.4468
384.00,0.4368,0.6099,0.5653,0.3615,0.7383,0.4591,0.5122,0.3769,0.4591,0.5876,0.6099,0.9867,0.5876,0.3615,0.3992,0.2484,0.9491,0.3992,0.2638,0.4968
385.00,0.4337,0.6144,0.5722,0.3614,0.7529,0.4698,0.5361,0.3915,0.4698,0.5782,0.6144,0.9758,0.5782,0.3614,0.3674,0.2831,0.9698,0.3975,0.2831,0.5060
386.00,0.4131,0.6196,0.5852,0.3469,0.7573,0.4501,0.5481,0.3786,0.4793,0.5481,0.6170,1.0009,0.5508,0.3469,0.3760,0.2754,0.9638,0.4104,0.2780,0.4793
387.00,0.3938,0.5907,0.5579,0.3610,0.7325,0.4490,0.5028,0.3715,0.4266,0.5028,0.5579,1.0055,0.5251,0.3610,0.3282,0.2521,0.9189,0.3610,0.2849,0.4266
388.00,0.3955,0.5667,0.5352,0.3463,0.7241,0.4093,0.5037,0.3601,0.4093,0.5214,0.5352,1.0074,0.5037,0.3463,0.3325,0.2204,0.8992,0.3463,0.2519,0.4270
389.00,0.3908,0.5411,0.5352,0.3548,0.7155,0.4149,0.4809,0.3548,0.4391,0.5352,0.5594,1.0102,0.5293,0.3548,0.3548,0.2104,0.9201,0.3306,0.2405,0.4692
390.00,0.4318,0.5758,0.5182,0.3455,0.7211,0.4044,0.4620,0.3468,0.4332,0.5470,0.5771,1.0103,0.5483,0.3180,0.3455,0.2317,0.9226,0.3482,0.2317,0.4606
391.00,0.4141,0.5601,0.5049,0.3313,0.7177,0.4221,0.4773,0.3589,0.4497,0.5245,0.5797,1.0294,0.5441,0.3313,0.3313,0.2485,0.9190,0.3785,0.2564,0.4417
392.00,0.3814,0.5536,0.5149,0.3164,0.6995,0.4218,0.4745,0.3427,0.4341,0.4869,0.5396,1.0299,0.5009,0.3164,0.3023,0.2373,0.8964,0.3427,0.2496,0.4218
393.00,0.3727,0.5298,0.5045,0.3223,0.7007,0.4036,0.4736,0.3475,0.4036,0.4736,0.5241,1.0091,0.4793,0.3223,0.2970,0.2270,0.8773,0.3280,0.2466,0.4036
394.00,0.3849,0.5292,0.5047,0.3368,0.6976,0.3849,0.4570,0.3368,0.4089,0.5051,0.5292,1.0343,0.5051,0.3363,0.3127,0.2161,0.8668,0.3363,0.2401,0.4089
395.00,0.3826,0.5155,0.4752,0.3303,0.6837,0.3826,0.4521,0.3303,0.4058,0.4984,0.5216,1.0079,0.5044,0.3131,0.3131,0.1973,0.8921,0.3131,0.2205,0.4118
