USPM-SA v1.00 DATAFILE 380-1050
wavelength,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20
409.00,0.3191,0.5536,0.3613,0.3705,0.4176,0.2909,0.3895,0.1782,0.3142,0.2676,0.3331,0.3895,0.4880,0.5021,0.3380,0.3239,0.5303,0.2768,0.2627,0.4740
410.00,0.3011,0.5450,0.3543,0.3679,0.4210,0.2861,0.3815,0.1894,0.3134,0.2589,0.3270,0.3693,0.4892,0.4905,0.3270,0.3134,0.5300,0.2725,0.2589,0.4633
411.00,0.3160,0.5417,0.3574,0.3818,0.4232,0.2897,0.3950,0.1956,0.3160,0.2520,0.3442,0.3705,0.5003,0.4872,0.3423,0.3160,0.5172,0.2633,0.2502,0.4627
412.00,0.3108,0.5403,0.3569,0.3648,0.4207,0.2804,0.3873,0.1785,0.3059,0.2599,0.3393,0.3746,0.4844,0.4766,0.3363,0.3108,0.5227,0.2550,0.2471,0.4589
413.00,0.3157,0.5529,0.3604,0.3604,0.4142,0.2787,0.3896,0.1725,0.3034,0.2664,0.3357,0.3850,0.4836,0.4836,0.3403,0.3234,0.5205,0.2541,0.2618,0.4666
414.00,0.3186,0.5661,0.3764,0.3764,0.4238,0.2934,0.3898,0.1763,0.3171,0.2712,0.3423,0.3898,0.4949,0.4949,0.3526,0.3305,0.5305,0.2696,0.2712,0.4728
415.00,0.3093,0.5626,0.3450,0.3679,0.4150,0.2775,0.3793,0.1731,0.3106,0.2533,0.3322,0.3793,0.4837,0.4939,0.3335,0.3106,0.5168,0.2749,0.2533,0.4710
416.00,0.2978,0.5555,0.3420,0.3640,0.4192,0.2829,0.3751,0.1765,0.3089,0.2498,0.3238,0.3711,0.4854,0.4854,0.3309,0.3049,0.5074,0.2647,0.2498,0.4594
417.00,0.2997,0.5484,0.3422,0.3634,0.4166,0.2784,0.3741,0.1700,0.3039,0.2465,0.3252,0.3634,0.4803,0.4740,0.3252,0.2997,0.5016,0.2551,0.2402,0.4421
418.00,0.3130,0.5562,0.3538,0.3657,0.4252,0.2840,0.3844,0.1718,0.3044,0.2620,0.3334,0.3742,0.4779,0.4762,0.3334,0.3216,0.5069,0.2620,0.2518,0.4542
419.00,0.3046,0.5610,0.3536,0.3634,0.4132,0.2752,0.3822,0.1666,0.3046,0.2646,0.3340,0.3838,0.4810,0.4728,0.3340,0.3144,0.5112,0.2654,0.2556,0.4524
420.00,0.3017,0.5718,0.3488,0.3613,0.4179,0.2765,0.3738,0.1634,0.3017,0.2576,0.3300,0.3866,0.4745,0.4808,0.3300,0.3142,0.5153,0.2640,0.2546,0.4556
421.00,0.2955,0.5728,0.3408,0.3641,0.4186,0.2773,0.3720,0.1685,0.3006,0.2540,0.3227,0.3823,0.4730,0.4730,0.3279,0.3085,0.5132,0.2643,0.2450,0.4549
422.00,0.2952,0.5729,0.3459,0.3651,0.4245,0.2777,0.3721,0.1730,0.3110,0.2515,0.3285,0.3825,0.4769,0.4698,0.3301,0.3039,0.5047,0.2619,0.2428,0.4524
423.00,0.2944,0.5716,0.3448,0.3616,0.4208,0.2772,0.3784,0.1764,0.3028,0.2524,0.3280,0.3704,0.4708,0.4703,0.3284,0.3028,0.4964,0.2524,0.2436,0.4376
424.00,0.2971,0.5650,0.3434,0.3572,0.4246,0.2679,0.3735,0.1705,0.3004,0.2541,0.3296,0.3759,0.4652,0.4595,0.3329,0.3052,0.5001,0.2517,0.2403,0.4432
425.00,0.2981,0.5696,0.3457,0.3536,0.4199,0.2673,0.3693,0.1647,0.2987,0.2510,0.3294,0.3813,0.4634,0.4634,0.3258,0.3101,0.5026,0.2516,0.2432,0.4435
426.00,0.2942,0.5851,0.3473,0.3549,0.4215,0.2714,0.3701,0.1652,0.3018,0.2546,0.3246,0.3852,0.4670,0.4670,0.3305,0.3094,0.5050,0.2563,0.2411,0.4443
427.00,0.2938,0.5878,0.3452,0.3601,0.4262,0.2718,0.3675,0.1689,0.3013,0.2499,0.3234,0.3820,0.4629,0.4701,0.3304,0.3012,0.4997,0.2571,0.2422,0.4407
428.00,0.2890,0.5833,0.3389,0.3584,0.4264,0.2676,0.3675,0.1659,0.3033,0.2515,0.3228,0.3746,0.4602,0.4583,0.3194,0.2962,0.4958,0.2515,0.2301,0.4335
429.00,0.2912,0.5824,0.3398,0.3501,0.4264,0.2669,0.3675,0.1629,0.3016,0.2461,0.3190,0.3744,0.4576,0.4507,0.3224,0.2946,0.4923,0.2461,0.2288,0.4298
430.00,0.2888,0.5826,0.3411,0.3479,0.4273,0.2668,0.3682,0.1604,0.3006,0.2466,0.3209,0.3749,0.4560,0.4492,0.3209,0.2939,0.4948,0.2415,0.2331,0.4273
431.00,0.2897,0.5925,0.3489,0.3490,0.4280,0.2634,0.3687,0.1646,0.2963,0.2633,0.3292,0.3818,0.4543,0.4543,0.3292,0.3028,0.5004,0.2501,0.2370,0.4345
432.00,0.2911,0.5981,0.3441,0.3521,0.4293,0.2604,0.3634,0.1624,0.2991,0.2540,0.3233,0.3827,0.4535,0.4599,0.3248,0.3040,0.5050,0.2540,0.2347,0.4342
433.00,0.2896,0.6074,0.3463,0.3619,0.4374,0.2674,0.3682,0.1667,0.3052,0.2551,0.3241,0.3871,0.4593,0.4596,0.3274,0.3022,0.5037,0.2581,0.2362,0.4314
434.00,0.2886,0.6035,0.3397,0.3582,0.4412,0.2656,0.3644,0.1668,0.3026,0.2515,0.3212,0.3874,0.4570,0.4508,0.3212,0.2964,0.4985,0.2488,0.2285,0.4244
435.00,0.2850,0.6002,0.3394,0.3517,0.4366,0.2608,0.3637,0.1579,0.2972,0.2486,0.3212,0.3762,0.4488,0.4427,0.3212,0.2911,0.4912,0.2426,0.2244,0.4126
436.00,0.2830,0.6064,0.3439,0.3546,0.4381,0.2591,0.3652,0.1624,0.2949,0.2578,0.3235,0.3809,0.4441,0.4441,0.3247,0.2949,0.4990,0.2447,0.2293,0.4202
437.00,0.2906,0.6165,0.3525,0.3584,0.4434,0.2644,0.3670,0.1645,0.3024,0.2612,0.3259,0.3937,0.4492,0.4492,0.3290,0.3024,0.5080,0.2463,0.2350,0.4257
438.00,0.2861,0.6236,0.3524,0.3582,0.4453,0.2654,0.3698,0.1625,0.3018,0.2612,0.3251,0.3972,0.4470,0.4511,0.3251,0.3018,0.5092,0.2496,0.2322,0.4279
439.00,0.2862,0.6297,0.3494,0.3607,0.4521,0.2635,0.3666,0.1659,0.3089,0.2633,0.3208,0.3953,0.4466,0.4523,0.3263,0.2979,0.5096,0.2518,0.2291,0.4239
440.00,0.2791,0.6295,0.3472,0.3618,0.4549,0.2666,0.3630,0.1645,0.3018,0.2564,0.3233,0.3913,0.4468,0.4436,0.3233,0.2949,0.5048,0.2439,0.2256,0.4140
441.00,0.2814,0.6273,0.3489,0.3571,0.4558,0.2645,0.3628,0.1632,0.3012,0.2589,0.3234,0.3909,0.4416,0.4419,0.3234,0.2952,0.5061,0.2420,0.2221,0.4108
442.00,0.2835,0.6340,0.3546,0.3577,0.4608,0.2627,0.3673,0.1621,0.3003,0.2611,0.3282,0.3953,0.4415,0.4400,0.3282,0.3003,0.5126,0.2403,0.2276,0.4161
443.00,0.2831,0.6437,0.3553,0.3553,0.4608,0.2609,0.3610,0.1610,0.2998,0.2663,0.3222,0.3996,0.4386,0.4440,0.3222,0.2998,0.5162,0.2387,0.2276,0.4164
444.00,0.2820,0.6538,0.3582,0.3607,0.4670,0.2612,0.3650,0.1659,0.3042,0.2698,0.3263,0.4080,0.4381,0.4480,0.3306,0.3029,0.5211,0.2489,0.2323,0.4203
445.00,0.2783,0.6530,0.3526,0.3636,0.4738,0.2644,0.3636,0.1653,0.3056,0.2644,0.3250,0.4022,0.4407,0.4436,0.3250,0.2975,0.5207,0.2479,0.2288,0.4161
446.00,0.2747,0.6522,0.3556,0.3626,0.4764,0.2637,0.3666,0.1648,0.3036,0.2637,0.3241,0.4010,0.4355,0.4355,0.3241,0.2967,0.5164,0.2432,0.2212,0.4080
447.00,0.2798,0.6585,0.3567,0.3622,0.4775,0.2634,0.3677,0.1593,0.3019,0.2688,0.3238,0.4006,0.4336,0.4336,0.3292,0.2964,0.5213,0.2415,0.2249,0.4061
448.00,0.2798,0.6652,0.3621,0.3634,0.4841,0.2621,0.3676,0.1646,0.3018,0.2701,0.3237,0.4115,0.4335,0.4347,0.3292,0.3018,0.5280,0.2414,0.2262,0.4115
449.00,0.2773,0.6723,0.3622,0.3651,0.4858,0.2580,0.3677,0.1620,0.3019,0.2744,0.3212,0.4116,0.4309,0.4364,0.3293,0.3019,0.5324,0.2415,0.2305,0.4116
450.00,0.2748,0.6800,0.3627,0.3708,0.4917,0.2583,0.3682,0.1634,0.3023,0.2748,0.3228,0.4162,0.4327,0.4382,0.3257,0.2982,0.5371,0.2458,0.2268,0.4122
451.00,0.2748,0.6815,0.3627,0.3737,0.5001,0.2637,0.3682,0.1649,0.3077,0.2748,0.3189,0.4177,0.4342,0.4343,0.3243,0.3022,0.5332,0.2473,0.2253,0.4122
452.00,0.2736,0.6859,0.3642,0.3780,0.5003,0.2626,0.3684,0.1678,0.3066,0.2749,0.3244,0.4165,0.4288,0.4275,0.3286,0.2969,0.5388,0.2406,0.2199,0.4097
453.00,0.2725,0.6856,0.3690,0.3745,0.5038,0.2588,0.3690,0.1624,0.3029,0.2781,0.3249,0.4157,0.4296,0.4267,0.3276,0.3001,0.5424,0.2368,0.2203,0.4047
454.00,0.2753,0.6923,0.3730,0.3744,0.5106,0.2588,0.3730,0.1652,0.3028,0.2808,0.3248,0.4225,0.4254,0.4294,0.3303,0.3069,0.5491,0.2408,0.2243,0.4074
455.00,0.2756,0.7108,0.3748,0.3802,0.5180,0.2645,0.3748,0.1708,0.3031,0.2920,0.3306,0.4353,0.4298,0.4353,0.3361,0.3086,0.5621,0.2425,0.2314,0.4133
456.00,0.2738,0.7153,0.3797,0.3852,0.5228,0.2641,0.3742,0.1706,0.3082,0.2916,0.3247,0.4347,0.4292,0.4389,0.3315,0.3068,0.5613,0.2476,0.2298,0.4127
457.00,0.2668,0.7124,0.3769,0.3851,0.5254,0.2613,0.3713,0.1678,0.3053,0.2861,0.3218,0.4319,0.4264,0.4291,0.3301,0.2998,0.5584,0.2421,0.2228,0.4071
