Data Generated by    ,Optosky
Save time:,2025/4/16 15:21:15
Material:, 
Integrate time:,12
Driver current:,700mA
Filter level:,NONE
Accumulate:,1
X Axis Unit:,WaveLength
position,value
335.698,26.00
336.095,22.00
336.492,26.00
336.889,29.00
337.286,17.00
337.683,13.00
338.080,12.00
338.477,16.00
338.875,27.00
339.272,17.00
339.669,22.00
340.066,23.00
340.464,23.00
340.861,19.00
341.258,10.00
341.656,10.00
342.053,17.00
342.451,10.00
342.848,4.00
343.246,1.00
343.643,7.00
344.041,9.00
344.438,8.00
344.836,8.00
345.233,23.00
345.631,22.00
346.029,12.00
346.427,18.00
346.824,25.00
347.222,39.00
347.620,37.00
348.018,49.00
348.415,35.00
348.813,34.00
349.211,25.00
349.609,31.00
350.007,25.00
350.405,24.00
350.803,18.00
351.201,19.00
351.599,12.00
351.997,2.00
352.395,1.00
352.793,9.00
353.191,4.00
353.589,3.00
353.988,2.00
354.386,6.00
354.784,8.00
355.182,19.00
355.581,20.00
355.979,25.00
356.377,23.00
356.776,36.00
357.174,39.00
357.573,33.00
357.971,37.00
358.369,35.00
358.768,24.00
359.166,34.00
359.565,34.00
359.964,35.00
360.362,31.00
360.761,34.00
361.159,28.00
361.558,15.00
361.957,11.00
362.355,9.00
362.754,13.00
363.153,9.00
363.552,8.00
363.951,6.00
364.349,10.00
364.748,19.00
365.147,28.00
365.546,30.00
365.945,29.00
366.344,26.00
366.743,28.00
367.142,28.00
367.541,27.00
367.940,28.00
368.339,27.00
368.738,33.00
369.137,32.00
369.537,28.00
369.936,20.00
370.335,27.00
370.734,30.00
371.134,18.00
371.533,13.00
371.932,9.00
372.332,3.00
372.731,8.00
373.130,15.00
373.530,18.00
373.929,27.00
374.329,26.00
374.728,21.00
375.128,32.00
375.527,31.00
375.927,28.00
376.326,30.00
376.726,31.00
377.126,38.00
377.525,37.00
377.925,28.00
378.325,24.00
378.724,28.00
379.124,24.00
379.524,22.00
379.924,19.00
380.324,16.00
