Data Generated by    ,Optosky
Save time:,2025/4/16 15:38:33
Material:, 
Integrate time:,12
Driver current:,700mA
Filter level:,NONE
Accumulate:,1
X Axis Unit:,WaveLength
position,value
186.059,16.00
186.445,16.00
186.832,16.00
187.218,16.00
187.604,16.00
187.990,16.00
188.377,16.00
188.763,16.00
189.149,16.00
189.536,16.00
189.922,15.00
190.308,11.00
190.695,3.00
191.081,-3.00
191.468,-3.00
191.855,-14.00
192.241,-1.00
192.628,5.00
193.014,11.00
193.401,15.00
193.788,17.00
194.175,17.00
194.561,27.00
194.948,31.00
195.335,23.00
195.722,22.00
196.109,20.00
196.496,20.00
196.883,26.00
197.270,21.00
197.657,17.00
198.044,17.00
198.431,7.00
198.818,2.00
199.205,9.00
199.592,3.00
199.979,-1.00
200.367,-11.00
200.754,-3.00
201.141,-6.00
201.529,-1.00
201.916,-3.00
202.303,0.00
202.691,11.00
203.078,22.00
203.466,13.00
203.853,18.00
204.241,22.00
204.628,18.00
205.016,15.00
205.404,11.00
205.791,11.00
206.179,12.00
206.567,6.00
206.954,15.00
207.342,15.00
207.730,4.00
208.118,11.00
208.506,5.00
208.894,0.00
209.282,0.00
209.670,-5.00
210.058,-6.00
210.446,-17.00
210.834,-4.00
211.222,-5.00
211.610,-10.00
211.998,-4.00
212.386,8.00
212.774,17.00
213.163,14.00
213.551,7.00
213.939,16.00
214.328,19.00
214.716,25.00
215.104,21.00
215.493,19.00
215.881,12.00
216.270,15.00
216.658,15.00
217.047,10.00
217.435,8.00
217.824,4.00
218.213,-1.00
218.601,-6.00
218.990,-11.00
219.379,-13.00
219.767,-9.00
220.156,-9.00
220.545,-6.00
220.934,-5.00
221.323,5.00
221.712,9.00
222.100,5.00
222.489,11.00
222.878,20.00
223.267,28.00
223.657,21.00
224.046,16.00
224.435,22.00
224.824,21.00
225.213,10.00
225.602,9.00
225.991,11.00
226.381,12.00
226.770,23.00
227.159,21.00
227.549,25.00
227.938,13.00
228.327,0.00
228.717,-8.00
229.106,-13.00
229.496,-6.00
229.885,1.00
230.275,0.00
230.664,-3.00
231.054,-7.00
231.444,-16.00
231.833,-9.00
232.223,2.00
232.613,10.00
233.003,14.00
233.392,14.00
233.782,29.00
234.172,19.00
234.562,16.00
234.952,19.00
235.342,26.00
235.732,23.00
236.122,11.00
236.512,1.00
236.902,-1.00
237.292,-1.00
237.682,-7.00
238.072,-8.00
238.462,-6.00
238.852,3.00
239.243,-3.00
239.633,0.00
240.023,-1.00
240.414,4.00
240.804,0.00
241.194,14.00
241.585,19.00
241.975,20.00
242.366,23.00
242.756,14.00
243.147,18.00
243.537,19.00
243.928,18.00
244.318,11.00
244.709,14.00
245.100,13.00
245.490,19.00
245.881,11.00
246.272,5.00
246.663,3.00
247.053,-4.00
247.444,-13.00
247.835,-14.00
248.226,-9.00
248.617,-9.00
249.008,-4.00
249.399,1.00
249.790,2.00
250.181,6.00
250.572,11.00
250.963,15.00
251.354,29.00
251.745,27.00
252.137,36.00
252.528,38.00
252.919,29.00
253.310,29.00
253.702,33.00
254.093,32.00
254.484,24.00
254.876,27.00
255.267,19.00
255.659,12.00
256.050,7.00
256.442,0.00
256.833,3.00
257.225,-6.00
257.616,-4.00
258.008,-13.00
258.399,-20.00
258.791,-11.00
259.183,-12.00
259.575,-10.00
259.966,-8.00
260.358,1.00
260.750,3.00
261.142,11.00
261.534,20.00
261.926,20.00
262.317,10.00
262.709,21.00
263.101,22.00
263.493,16.00
263.885,8.00
264.278,15.00
264.670,12.00
265.062,11.00
265.454,23.00
265.846,10.00
266.238,2.00
266.631,-3.00
267.023,1.00
267.415,-7.00
267.807,-10.00
268.200,-12.00
268.592,-10.00
268.985,-2.00
269.377,0.00
269.770,6.00
270.162,21.00
270.555,22.00
270.947,24.00
271.340,16.00
271.732,18.00
272.125,15.00
272.518,18.00
272.910,1.00
273.303,12.00
273.696,10.00
274.089,6.00
274.481,1.00
274.874,2.00
275.267,-2.00
275.660,2.00
276.053,1.00
276.446,3.00
276.839,-3.00
277.232,-7.00
277.625,-2.00
278.018,3.00
278.411,6.00
278.804,-3.00
279.197,-5.00
279.590,-2.00
279.984,8.00
280.377,18.00
280.770,10.00
281.163,21.00
281.557,26.00
281.950,20.00
282.343,18.00
282.737,9.00
283.130,17.00
283.524,21.00
283.917,16.00
284.311,16.00
284.704,16.00
285.098,7.00
285.491,8.00
285.885,4.00
286.279,0.00
286.672,-3.00
287.066,-3.00
287.460,-10.00
287.853,-9.00
288.247,-4.00
288.641,-5.00
289.035,-8.00
289.429,-4.00
289.823,-3.00
290.217,10.00
290.611,7.00
291.004,16.00
291.398,14.00
