USPM-SA v1.01 ADDFILE 380-1050
Source3,(0:A,1:B,2:C,3:D65),ViewTrue,(True:2(CIE1931),False:10(CIE1964))
L*,10.4102,6.4394,2.7940,3.1780,4.5721,4.7648,4.9177,4.6638,2.1979,5.0497,7.3558,7.6966,7.5735,4.2574,3.5598,2.4861,5.0104,5.3254,3.3901,3.4350
a*,-1.2220,-0.6636,-0.2135,-0.7419,-1.2169,-1.2263,-1.1367,-1.3863,-0.3872,-0.9420,-1.4482,-2.7239,-3.6226,-1.9229,-0.9015,-0.8697,-1.2422,-1.1848,-1.2381,-1.1096
b*,-2.0801,-3.6286,-2.4514,-3.1509,-2.6798,-2.9978,-2.6078,-3.2000,-2.4120,-2.9934,-0.7063,-2.0031,-2.7457,-3.0920,-3.2260,-2.0554,-3.4336,-2.8598,-3.0328,-2.9103
x,0.2906,0.2749,0.2609,0.2486,0.2660,0.2643,0.2705,0.2596,0.2467,0.2695,0.2966,0.2787,0.2664,0.2502,0.2514,0.2505,0.2620,0.2706,0.2467,0.2508
y,0.3160,0.2965,0.2796,0.2767,0.2985,0.2959,0.3010,0.2935,0.2708,0.2966,0.3272,0.3197,0.3155,0.2943,0.2813,0.2870,0.2927,0.3004,0.2838,0.2855
HUE,239.5666,259.6356,265.0235,256.7504,245.5769,247.7516,246.4488,246.5760,260.8809,252.5319,206.0000,216.3305,217.1605,238.1223,254.3879,247.0655,250.1108,247.4956,247.7935,249.1303
CHROMA,2.4125,3.6888,2.4607,3.2370,2.9432,3.2390,2.8448,3.4874,2.4429,3.1381,1.6113,3.3811,4.5455,3.6412,3.3496,2.2318,3.6514,3.0955,3.2758,3.1146
AVERAGE,1.2600,0.8675,0.5007,0.4709,0.5707,0.6206,0.5974,0.5514,0.4692,0.6872,0.7697,0.7674,0.7711,0.5165,0.4945,0.3876,0.6153,0.6326,0.4785,0.5034
LUMINOUS,1.1802,0.7129,0.3093,0.3518,0.5062,0.5275,0.5444,0.5163,0.2433,0.5590,0.8143,0.8521,0.8384,0.4713,0.3941,0.2752,0.5547,0.5896,0.3753,0.3803
NO,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20
DETAIL1,,,,,,,,,,,,,,,,,,,,
DETAIL2,,,,,,,,,,,,,,,,,,,,
DATE,25/03/02 13:03,25/03/02 13:03,25/03/02 13:04,25/03/02 13:04,25/03/02 13:05,25/03/02 13:05,25/03/02 13:06,25/03/02 13:06,25/03/02 13:06,25/03/02 13:07,25/03/02 13:07,25/03/02 13:08,25/03/02 13:09,25/03/02 13:09,25/03/02 13:10,25/03/02 13:10,25/03/02 13:11,25/03/02 13:11,25/03/02 13:12,25/03/02 13:12
